Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
487,Gary Trent Jr.,SG,25,TOR,52,22,1379,225,536,.420,126,301,.419,99,235,.421,.537,35,50,.700,13,103,116,80,49,8,36,67,611,trentga02
488,Oscar Tshiebwe,PF,24,IND,7,0,37,9,17,.529,0,0,,9,17,.529,.529,5,6,.833,6,8,14,2,2,0,0,2,23,tshieos01
489,P.J. Tucker,PF,38,TOT,17,3,258,6,20,.300,5,16,.313,1,4,.250,.425,3,3,1.000,17,29,46,8,9,3,4,37,20,tuckepj01
489,P.J. Tucker,PF,38,PHI,3,3,66,2,5,.400,2,5,.400,0,0,,.600,0,0,,1,13,14,0,3,2,2,9,6,tuckepj01
489,P.J. Tucker,PF,38,LAC,14,0,192,4,15,.267,3,11,.273,1,4,.250,.367,3,3,1.000,16,16,32,8,6,1,2,28,14,tuckepj01
490,Myles Turner,C,27,IND,54,54,1483,340,644,.528,73,221,.330,267,423,.631,.585,187,236,.792,84,294,378,72,32,93,80,172,940,turnemy01
491,Hunter Tyson,PF,23,DEN,9,0,27,1,7,.143,0,6,.000,1,1,1.000,.143,0,0,,0,6,6,1,0,0,2,6,2,tysonhu01
492,Stanley Umude,SG,24,DET,17,0,190,25,52,.481,17,31,.548,8,21,.381,.644,22,24,.917,4,27,31,9,4,5,11,28,89,umudest01
493,Jonas Valančiūnas,C,31,NOP,58,58,1484,320,560,.571,32,93,.344,288,467,.617,.600,129,162,.796,155,403,558,132,25,59,80,169,801,valanjo01
494,Jarred Vanderbilt,PF,24,LAL,29,6,581,59,114,.518,8,27,.296,51,87,.586,.553,24,36,.667,41,97,138,36,36,5,28,43,150,vandeja01
495,Fred VanVleet,PG,29,HOU,50,50,1832,275,672,.409,147,391,.376,128,281,.456,.519,128,150,.853,20,167,187,399,57,46,85,112,825,vanvlfr01
496,Devin Vassell,SG,23,SAS,53,47,1684,373,798,.467,133,353,.377,240,445,.539,.551,133,166,.801,23,174,197,198,53,18,77,53,1012,vassede01
497,Sasha Vezenkov,PF,28,SAC,35,0,440,74,165,.448,38,100,.380,36,65,.554,.564,10,13,.769,30,56,86,15,16,7,11,35,196,vezenal01
498,Gabe Vincent,PG,27,LAL,5,0,127,12,32,.375,2,17,.118,10,15,.667,.406,1,2,.500,2,3,5,15,6,0,2,12,27,vincega01
499,Nikola Vučević,C,33,CHI,52,50,1791,392,827,.474,59,215,.274,333,612,.544,.510,74,86,.860,144,411,555,176,37,43,80,133,917,vucevni01
500,Dean Wade,PF,27,CLE,47,30,962,82,201,.408,69,175,.394,13,26,.500,.580,15,19,.789,33,160,193,37,37,18,19,85,248,wadede01
501,Franz Wagner,SF,22,ORL,50,50,1661,385,808,.476,80,254,.315,305,554,.551,.526,188,221,.851,53,228,281,203,53,17,102,117,1038,wagnefr01
502,Moritz Wagner,C,26,ORL,56,1,1029,238,404,.589,27,82,.329,211,322,.655,.623,125,156,.801,90,163,253,66,28,18,66,120,628,wagnemo01
503,Ish Wainright,SF,29,POR,7,0,46,6,18,.333,6,16,.375,0,2,.000,.500,2,2,1.000,0,9,9,0,2,1,1,4,20,wainris01
504,Jabari Walker,SF,21,POR,52,14,1140,156,337,.463,27,101,.267,129,236,.547,.503,86,114,.754,105,225,330,41,31,20,49,116,425,walkeja01
