Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
20,Amari Bailey,PG,19,CHO,3,15,2.1,.317,.429,.286,14.3,0.0,7.4,9.4,0.0,0.0,11.3,25.8,,-0.1,0.0,-0.1,-0.221,,-6.4,-6.8,-13.2,0.0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,20,152,9.2,.526,.574,.255,4.8,25.9,15.0,6.7,0.6,2.1,10.3,16.0,,0.0,0.1,0.1,.024,,-4.0,-1.3,-5.3,-0.1,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,711,20.6,.561,.466,.246,4.4,13.8,8.9,42.3,2.7,0.5,15.0,33.8,,0.5,0.6,1.1,.075,,3.6,-0.4,3.2,0.9,ballla01
23,Mo Bamba,C,25,PHI,35,370,15.9,.542,.264,.264,13.6,24.3,18.9,9.2,1.6,8.2,16.4,16.9,,0.2,0.7,0.9,.110,,-2.4,1.1,-1.4,0.1,bambamo01
24,Paolo Banchero,PF,21,ORL,57,1986,17.3,.544,.237,.403,3.6,19.2,11.3,24.4,1.4,1.4,12.5,29.5,,0.8,2.7,3.5,.085,,1.3,-0.1,1.3,1.6,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.8,.597,.460,.201,2.8,12.0,7.3,28.1,1.4,1.4,11.6,28.9,,1.5,1.3,2.8,.104,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,TOT,29,268,11.2,.495,.304,.446,7.0,14.1,10.5,14.4,1.5,1.0,13.4,20.4,,0.0,0.3,0.3,.048,,-3.1,0.0,-3.0,-0.1,bantoda01
26,Dalano Banton,PG,24,BOS,24,171,9.8,.468,.314,.392,7.9,13.7,10.9,14.1,1.4,1.6,14.3,17.7,,0.0,0.2,0.2,.062,,-4.9,0.6,-4.3,-0.1,bantoda01
26,Dalano Banton,PG,24,POR,5,97,13.7,.527,.293,.512,5.5,14.9,9.9,14.9,1.5,0.0,12.2,25.1,,0.0,0.1,0.0,.022,,0.1,-1.0,-0.9,0.0,bantoda01
27,Dominick Barlow,PF,20,SAS,23,307,14.7,.531,.083,.405,11.4,18.3,14.8,11.4,1.4,3.3,4.8,14.2,,0.5,0.3,0.7,.115,,-1.5,-0.2,-1.7,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,56,1665,11.9,.630,.552,.260,3.0,8.3,5.6,5.0,1.2,0.5,6.7,14.9,,2.3,0.9,3.2,.093,,-0.6,-1.2,-1.8,0.1,barneha02
29,Scottie Barnes,SG,22,TOR,57,2002,19.4,.569,.316,.272,7.2,18.6,12.8,25.3,1.7,3.6,13.5,24.7,,2.4,2.2,4.6,.110,,2.9,0.9,3.7,2.9,barnesc01
30,RJ Barrett,SG,23,TOT,46,1435,15.5,.566,.303,.330,3.2,16.0,9.5,14.6,0.9,1.1,10.3,25.7,,1.1,1.2,2.3,.077,,0.2,-1.4,-1.2,0.3,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.3,.536,.335,.320,2.8,13.5,8.1,12.6,0.8,1.1,9.6,27.3,,0.4,0.7,1.1,.069,,-0.5,-1.7,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,20,669,16.9,.606,.260,.344,3.7,19.0,11.2,16.9,0.9,1.0,11.2,23.9,,0.7,0.5,1.2,.087,,0.9,-1.1,-0.2,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,11.9,28.5,20.0,14.0,1.8,7.0,26.0,11.8,,0.3,0.3,0.6,.146,,-2.0,3.0,1.0,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.9,7.3,9.8,0.6,2.3,3.7,15.4,,-0.1,0.1,0.0,-0.019,,-5.3,-0.8,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,TOT,42,617,11.4,.536,.419,.232,5.9,12.7,9.5,7.1,1.8,3.0,7.6,12.9,,0.4,0.7,1.1,.086,,-1.4,0.3,-1.1,0.1,bateske01
33,Keita Bates-Diop,SF,28,PHO,39,597,11.2,.525,.427,.240,6.1,12.8,9.6,7.3,1.8,2.9,7.3,12.9,,0.4,0.7,1.1,.085,,-1.5,0.2,-1.3,0.1,bateske01
33,Keita Bates-Diop,SF,28,BRK,3,20,17.7,.900,.200,.000,0.0,11.2,5.4,0.0,2.5,4.5,16.7,12.9,,0.0,0.0,0.0,.115,,2.4,1.1,3.5,0.0,bateske01
34,Nicolas Batum,PF,35,TOT,37,882,11.2,.681,.729,.100,5.2,11.7,8.5,11.2,1.3,2.5,13.1,8.1,,1.4,0.8,2.2,.122,,-0.3,0.7,0.4,0.5,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.7,.500,.875,.000,0.0,14.2,7.3,11.1,2.7,6.6,11.1,7.3,,0.0,0.1,0.1,.095,,-1.6,4.3,2.7,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,34,828,11.3,.691,.720,.106,5.6,11.5,8.5,11.3,1.2,2.3,13.2,8.2,,1.4,0.8,2.1,.124,,-0.2,0.5,0.3,0.5,batumni01
35,Darius Bazley,PF,23,PHI,2,6,-9.6,.000,.000,.000,0.0,0.0,0.0,19.0,0.0,0.0,50.0,14.2,,0.0,0.0,0.0,-0.333,,-13.5,-4.2,-17.7,0.0,bazleda01
36,Bradley Beal,SG,30,PHO,30,979,14.8,.579,.313,.206,3.1,11.3,7.4,20.8,1.3,0.7,13.4,24.0,,0.7,0.8,1.5,.074,,-0.9,-1.5,-2.3,-0.1,bealbr01
37,Malik Beasley,SG,27,MIL,56,1658,11.4,.642,.741,.051,2.4,11.5,7.1,6.0,1.3,0.3,7.2,14.0,,2.0,1.2,3.2,.092,,-0.1,-0.7,-0.8,0.5,beaslma01
38,MarJon Beauchamp,SF,23,MIL,41,571,8.8,.583,.463,.188,4.3,13.0,8.8,6.5,1.0,0.9,14.3,14.1,,0.1,0.4,0.5,.046,,-2.7,-1.0,-3.7,-0.2,beaucma01
39,Jules Bernard,SG,24,WAS,6,28,3.6,.292,.667,.000,7.4,11.7,9.5,22.6,1.7,2.9,14.3,20.9,,-0.1,0.0,-0.1,-0.152,,-7.2,-1.2,-8.4,0.0,bernaju01
40,Dāvis Bertāns,PF,31,TOT,19,134,16.7,.672,.955,.341,1.8,9.0,5.4,10.5,1.8,2.1,1.9,16.7,,0.4,0.1,0.5,.196,,3.0,0.8,3.8,0.2,bertada01
40,Dāvis Bertāns,PF,31,OKC,15,91,17.2,.675,.923,.577,2.6,9.4,6.1,12.1,1.6,3.0,3.0,16.0,,0.3,0.1,0.4,.227,,3.2,0.8,4.0,0.1,bertada01
40,Dāvis Bertāns,PF,31,CHO,4,43,15.6,.667,1.000,.000,0.0,8.1,3.9,7.1,2.3,0.0,0.0,18.2,,0.1,0.0,0.1,.130,,2.6,0.9,3.5,0.1,bertada01
41,Patrick Beverley,PG,35,TOT,53,1011,11.2,.536,.466,.244,3.7,13.4,8.5,20.4,1.3,1.7,15.5,14.7,,0.6,1.0,1.6,.076,,-1.7,0.0,-1.7,0.1,beverpa01
41,Patrick Beverley,PG,35,PHI,47,919,11.5,.547,.452,.261,3.6,13.9,8.7,20.5,1.3,1.8,15.4,14.7,,0.7,0.9,1.6,.082,,-1.5,0.0,-1.5,0.1,beverpa01
41,Patrick Beverley,PG,35,MIL,6,92,7.3,.425,.600,.080,4.9,8.1,6.5,19.8,2.1,0.9,16.2,14.3,,0.0,0.1,0.0,.017,,-4.4,0.2,-4.3,-0.1,beverpa01
42,Saddiq Bey,SF,24,ATL,56,1826,13.0,.554,.517,.282,8.4,13.3,10.7,5.8,1.2,0.4,6.4,16.5,,2.5,0.5,3.0,.080,,0.1,-2.0,-1.9,0.1,beysa01
43,Goga Bitadze,C,24,ORL,48,863,18.1,.629,.063,.376,13.4,21.8,17.5,11.8,1.5,7.4,13.4,12.7,,1.7,1.7,3.4,.187,,-0.3,2.9,2.6,1.0,bitadgo01
44,Onuralp Bitim,SG,24,CHI,2,6,-12.7,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,,0.0,0.0,0.0,-0.348,,-15.7,-8.2,-23.8,0.0,bitimon01
